"Instrument,Mean,Median,Std.,Var,Spectral Centroid,Spectral roll-off"
"Flute,-0.009229779,-0.008285522,0.010341254,0.000106942,2.362823486,2.008399963"
"Flute,-0.017342567,-0.015655518,0.032992394,0.001088498,1.429442076,1.215025765"
"Flute,-0.011968732,-0.00541687,0.097608973,0.009527512,0.980582457,0.833495088"
"Flute,-0.00094974,0.040908813,0.196470629,0.038600708,0.769927728,0.654438569"
"Flute,-0.006304979,0.064682007,0.237121273,0.056226498,0.654740142,0.556529121"
"Flute,-0.013000011,0.033325195,0.227171859,0.051607054,0.808654302,0.687356157"
"Flute,-0.011112213,0.008377075,0.215956298,0.046637123,0.770997097,0.655347533"
"Flute,-0.007249117,-0.000610352,0.212208604,0.045032492,0.713677127,0.606625558"
"Flute,-0.011559725,-0.027999878,0.213310638,0.045501428,0.657876536,0.559195056"
"Flute,-0.010074854,-0.041824341,0.21214842,0.045006952,0.609730056,0.518270548"
"Flute,-0.005005717,-0.05406189,0.209074953,0.043712336,0.570762402,0.485148042"
"Flute,-0.005976915,-0.067199707,0.208288147,0.043383952,0.53605017,0.455642644"
"Flute,-0.013552427,-0.060317993,0.21087006,0.044466182,0.502717619,0.427309976"
"Flute,-0.015104055,-0.050506592,0.208700911,0.04355607,0.475233408,0.403948396"
"Flute,-0.010004997,-0.048294067,0.205027197,0.042036152,0.449793445,0.382324428"
"Flute,-0.007597685,-0.051010132,0.201609731,0.040646483,0.428909871,0.364573391"
"Flute,-0.009625435,-0.058319092,0.203227468,0.041301404,0.408835065,0.347509805"
"Flute,-0.006040215,-0.055480957,0.20755591,0.043079456,0.390277532,0.331735902"
"Flute,-0.00618434,-0.054168701,0.204592888,0.04185825,0.373430712,0.317416105"
"Flute,-0.009418368,-0.069015503,0.20256144,0.041031137,0.358525928,0.304747039"
"Flute,-0.010598063,-0.049041748,0.198155914,0.039265766,0.344321955,0.292673662"
"Flute,-0.007470608,-0.049530029,0.198233351,0.039296462,0.331800284,0.282030241"
"Flute,-0.006787181,-0.029785156,0.194774515,0.037937112,0.320375606,0.272319265"
"Flute,-0.011036873,-0.026062012,0.194095054,0.03767289,0.30973011,0.263270593"
"Flute,-0.01656878,-0.026168823,0.191375049,0.03662441,0.299499291,0.254574397"
"Flute,-0.014228463,-0.030990601,0.187040266,0.034984061,0.290049587,0.246542149"
"Flute,-0.006498218,-0.022964478,0.183710606,0.033749587,0.281521834,0.239293559"
"Flute,-0.000164628,-0.015670776,0.185459674,0.034395291,0.27330469,0.232308986"
"Flute,-0.009422541,-0.026657104,0.181872601,0.033077643,0.265364533,0.225559853"
"Flute,-0.014370561,-0.025604248,0.178710895,0.031937584,0.25798288,0.219285448"
"Flute,-0.006905317,-0.016708374,0.175924179,0.030949317,0.251158474,0.213484703"
"Flute,-0.004201174,-0.012405396,0.17721647,0.031405677,0.244687437,0.207984321"
"Flute,-0.008707166,-0.007049561,0.175070927,0.030649829,0.238998173,0.203148447"
"Flute,-0.011857867,-0.004638672,0.174366248,0.030403588,0.232957421,0.198013808"
"Flute,-0.011407137,-0.003555298,0.177323041,0.031443461,0.227445784,0.193328916"
"Flute,-0.010989904,-0.001525879,0.174324229,0.030388937,0.222192053,0.188863245"
"Flute,-0.014055729,-0.006820679,0.171169386,0.029298959,0.217295331,0.184701032"
"Flute,-0.00985086,-0.003829956,0.1716659,0.029469181,0.212864253,0.180934615"
